Model,Dataset,Seed,Data_Fraction,Accuracy,Macro_F1,Train_Time,Infer_Time,Num_Params
RoBERTa,AG News,123,1.0,0.9511842105263157,0.9511403345228807,2848.1714413166046,8.359875679016113,124648708.0
RoBERTa,AG News,456,1.0,0.949078947368421,0.9490837185719684,2860.866634607315,8.33771824836731,124648708.0
DistilBERT,Tweet Irony,42,1.0,0.6683673469387755,0.6635304215773662,50.15040040016174,0.5028843879699707,66955010.0
DistilBERT,Tweet Irony,123,1.0,0.6696428571428571,0.6667536478770841,50.313884258270264,0.4986457824707031,66955010.0
DistilBERT,Tweet Irony,456,1.0,0.6709183673469388,0.6489795918367347,50.74692177772522,0.5179173946380615,66955010.0
RoBERTa,Tweet Irony,42,1.0,0.7321428571428571,0.7284028822551272,92.93276596069336,0.8820247650146484,124647170.0
RoBERTa,Tweet Irony,123,1.0,0.75,0.7484266844790214,93.02952742576599,0.8740921020507812,124647170.0
RoBERTa,Tweet Irony,456,1.0,0.7397959183673469,0.7381583858863283,92.54642629623413,0.8770768642425537,124647170.0
TF-IDF + LogReg,AG News,42,0.5,0.9072368421052631,0.9070139591399107,57.069170236587524,0.004105091094970703,
TF-IDF + SVM,AG News,42,0.5,0.9130263157894737,0.9128362603056108,45.253469705581665,0.004489898681640625,
TextCNN,AG News,42,0.5,0.8871052631578947,0.8869678219261927,23.140604496002197,0.1596236228942871,3995104.0
DistilBERT,AG News,42,0.5,0.9361842105263158,0.9361871931230676,810.2166891098022,4.778472423553467,66956548.0
RoBERTa,AG News,42,0.5,0.9434210526315789,0.9433755335794379,1478.8977699279785,8.386792421340942,124648708.0
TF-IDF + LogReg,AG News,123,0.5,0.9084210526315789,0.9082036171236105,58.05462121963501,0.0040662288665771484,
TF-IDF + SVM,AG News,123,0.5,0.9126315789473685,0.912334604136244,36.78245449066162,0.0032422542572021484,
TextCNN,AG News,123,0.5,0.8889473684210526,0.8889008127626316,23.26662516593933,0.16202712059020996,3995104.0
DistilBERT,AG News,123,0.5,0.9369736842105263,0.9369117622272378,809.6261785030365,4.793882608413696,66956548.0
RoBERTa,AG News,123,0.5,0.9451315789473684,0.945094256384162,1477.4278461933136,8.369441986083984,124648708.0
TF-IDF + LogReg,AG News,456,0.5,0.908157894736842,0.907896274096297,55.844929933547974,0.003831148147583008,
TF-IDF + SVM,AG News,456,0.5,0.9122368421052631,0.9120306087674972,43.85173583030701,0.004824399948120117,
TextCNN,AG News,456,0.5,0.8927631578947368,0.8925129317787279,26.601229667663574,0.16115760803222656,3995104.0
DistilBERT,AG News,456,0.5,0.9375,0.9375113852977885,805.5581934452057,4.7795774936676025,66956548.0
RoBERTa,AG News,456,0.5,0.9463157894736842,0.9462563553563106,1473.1474113464355,8.347344398498535,124648708.0
TF-IDF + LogReg,AG News,42,0.25,0.9014473684210527,0.9012685686388776,35.11882281303406,0.003894329071044922,
TF-IDF + SVM,AG News,42,0.25,0.9030263157894737,0.9027487747477915,16.76819944381714,0.003170013427734375,
TextCNN,AG News,42,0.25,0.8736842105263158,0.8738018999159127,18.808931589126587,0.15694260597229004,3995104.0
DistilBERT,AG News,42,0.25,0.9289473684210526,0.929094465029092,425.9479444026947,4.7782886028289795,66956548.0
RoBERTa,AG News,42,0.25,0.9380263157894737,0.9380045408701752,784.1427733898163,8.364161729812622,124648708.0
TF-IDF + LogReg,AG News,123,0.25,0.8977631578947368,0.897423156572938,35.86077308654785,0.0038957595825195312,
TF-IDF + SVM,AG News,123,0.25,0.9025,0.9022452765123845,16.6806218624115,0.0029807090759277344,
TextCNN,AG News,123,0.25,0.8717105263157895,0.8718497321014762,18.941315412521362,0.1611936092376709,3995104.0
DistilBERT,AG News,123,0.25,0.9296052631578947,0.9297450288130049,419.51537466049194,4.783493757247925,66956548.0
